Time,Price,Direction,Result
2024-01-01 01:17:00,1.11989,UP,Lose
2024-01-01 01:18:00,1.1208,UP,Win
2024-01-01 01:19:00,1.10093,UP,Win
2024-01-01 01:20:00,1.09873,UP,Win
2024-01-01 01:21:00,1.1023,UP,Win
2024-01-01 01:22:00,1.11708,UP,Lose
2024-01-01 01:23:00,1.1119,UP,Win
2024-01-01 01:24:00,1.10381,DOWN,Win
2024-01-01 01:25:00,1.0988,DOWN,Win
2024-01-01 01:26:00,1.10795,UP,Win
2024-01-01 01:27:00,1.11124,DOWN,Lose
2024-01-01 01:28:00,1.10594,UP,Win
2024-01-01 01:29:00,1.11107,UP,Win
2024-01-01 01:30:00,1.11204,DOWN,Lose
2024-01-01 01:31:00,1.12173,UP,Win
2024-01-01 01:32:00,1.11471,UP,Win
2024-01-01 01:33:00,1.11143,UP,Win
2024-01-01 01:34:00,1.10751,UP,Lose
2024-01-01 01:35:00,1.09288,UP,Win
2024-01-01 01:36:00,1.09584,UP,Lose
2024-01-01 01:37:00,1.09845,UP,Lose
2024-01-01 01:38:00,1.0985,DOWN,Lose
2024-01-01 01:39:00,1.09615,DOWN,Lose
2024-01-01 01:40:00,1.082,UP,Lose
2024-01-01 01:41:00,1.07779,DOWN,Lose
2024-01-01 01:42:00,1.07437,UP,Lose
2024-01-01 01:43:00,1.06634,UP,Win
2024-01-01 01:44:00,1.06473,UP,Win
2024-01-01 01:45:00,1.06877,UP,Lose
2024-01-01 01:46:00,1.08763,DOWN,Lose
2024-01-01 01:47:00,1.08938,DOWN,Lose
2024-01-01 01:48:00,1.09195,DOWN,Lose
2024-01-01 01:49:00,1.09121,DOWN,Lose
2024-01-01 01:50:00,1.07202,UP,Lose
2024-01-01 01:51:00,1.07176,DOWN,Win
2024-01-01 01:52:00,1.07236,UP,Win
2024-01-01 01:53:00,1.09699,UP,Lose
2024-01-01 01:54:00,1.09507,DOWN,Lose
2024-01-01 01:55:00,1.09808,UP,Lose
2024-01-01 01:56:00,1.09774,DOWN,Win
2024-01-01 01:57:00,1.08605,DOWN,Lose
2024-01-01 01:58:00,1.09748,DOWN,Win
2024-01-01 01:59:00,1.105,DOWN,Win
2024-01-01 02:00:00,1.11291,DOWN,Win
2024-01-01 02:01:00,1.10381,UP,Lose
2024-01-01 02:02:00,1.11784,DOWN,Lose
2024-01-01 02:03:00,1.10382,DOWN,Win
2024-01-01 02:04:00,1.10969,UP,Win
2024-01-01 02:05:00,1.1316,DOWN,Win
2024-01-01 02:06:00,1.12169,DOWN,Win
2024-01-01 02:07:00,1.11603,UP,Lose
2024-01-01 02:08:00,1.11702,UP,Win
2024-01-01 02:09:00,1.11199,DOWN,Lose
2024-01-01 02:10:00,1.09648,UP,Win
2024-01-01 02:11:00,1.09717,DOWN,Lose
2024-01-01 02:12:00,1.08655,UP,Win
2024-01-01 02:13:00,1.09128,DOWN,Lose
2024-01-01 02:14:00,1.08209,DOWN,Lose
2024-01-01 02:15:00,1.09759,DOWN,Lose
2024-01-01 02:16:00,1.08975,UP,Win
2024-01-01 02:17:00,1.08653,DOWN,Lose
2024-01-01 02:18:00,1.09467,UP,Win
2024-01-01 02:19:00,1.08236,DOWN,Lose
2024-01-01 02:20:00,1.08463,DOWN,Lose
2024-01-01 02:21:00,1.09771,DOWN,Win
2024-01-01 02:22:00,1.08163,DOWN,Lose
2024-01-01 02:23:00,1.08348,DOWN,Lose
2024-01-01 02:24:00,1.08608,UP,Win
2024-01-01 02:25:00,1.09389,UP,Lose
2024-01-01 02:26:00,1.08153,UP,Lose
2024-01-01 02:27:00,1.06832,DOWN,Lose
2024-01-01 02:28:00,1.07354,DOWN,Lose
2024-01-01 02:29:00,1.07651,UP,Win
2024-01-01 02:30:00,1.07901,DOWN,Lose
2024-01-01 02:31:00,1.08248,DOWN,Lose
2024-01-01 02:32:00,1.07568,DOWN,Lose
2024-01-01 02:33:00,1.078,UP,Lose
2024-01-01 02:34:00,1.08093,UP,Lose
2024-01-01 02:35:00,1.07379,UP,Lose
2024-01-01 02:36:00,1.09245,UP,Lose
2024-01-01 02:37:00,1.09718,UP,Lose
2024-01-01 02:38:00,1.08527,DOWN,Win
2024-01-01 02:39:00,1.09184,DOWN,Win
2024-01-01 02:40:00,1.08209,DOWN,Win
2024-01-01 02:41:00,1.08996,DOWN,Win
2024-01-01 02:42:00,1.10155,UP,Lose
2024-01-01 02:43:00,1.09334,UP,Lose
2024-01-01 02:44:00,1.10297,DOWN,Win
2024-01-01 02:45:00,1.1071,UP,Win
2024-01-01 02:46:00,1.11532,DOWN,Win
2024-01-01 02:47:00,1.13429,DOWN,Lose
2024-01-01 02:48:00,1.13184,DOWN,Lose
2024-01-01 02:49:00,1.1243,DOWN,Win
2024-01-01 02:50:00,1.1154,UP,Win
2024-01-01 02:51:00,1.10725,DOWN,Win
2024-01-01 02:52:00,1.10647,UP,Win
2024-01-01 02:53:00,1.10989,DOWN,Win
2024-01-01 02:54:00,1.11265,DOWN,Lose
2024-01-01 02:55:00,1.12093,DOWN,Win
2024-01-01 02:56:00,1.12106,DOWN,Lose
2024-01-01 02:57:00,1.13559,UP,Win
2024-01-01 02:58:00,1.13294,DOWN,Win
2024-01-01 02:59:00,1.16015,UP,Lose
2024-01-01 03:00:00,1.1664,DOWN,Win
2024-01-01 03:01:00,1.15783,DOWN,Lose
2024-01-01 03:02:00,1.14712,DOWN,Lose
2024-01-01 03:03:00,1.15195,UP,Win
2024-01-01 03:04:00,1.14971,DOWN,Win
2024-01-01 03:05:00,1.15685,DOWN,Lose
2024-01-01 03:06:00,1.16158,DOWN,Lose
2024-01-01 03:07:00,1.16086,DOWN,Win
2024-01-01 03:08:00,1.15239,DOWN,Lose
2024-01-01 03:09:00,1.13724,UP,Win
2024-01-01 03:10:00,1.13277,UP,Lose
2024-01-01 03:11:00,1.14134,DOWN,Win
2024-01-01 03:12:00,1.14348,DOWN,Lose
2024-01-01 03:13:00,1.13102,UP,Lose
2024-01-01 03:14:00,1.13275,DOWN,Win
2024-01-01 03:15:00,1.13661,UP,Lose
2024-01-01 03:16:00,1.12777,DOWN,Lose
2024-01-01 03:17:00,1.12931,DOWN,Lose
2024-01-01 03:18:00,1.12989,UP,Lose
2024-01-01 03:19:00,1.11846,DOWN,Lose
2024-01-01 03:20:00,1.12204,UP,Lose
2024-01-01 03:21:00,1.12764,UP,Lose
2024-01-01 03:22:00,1.13847,UP,Win
2024-01-01 03:23:00,1.14901,DOWN,Lose
2024-01-01 03:24:00,1.13524,UP,Lose
2024-01-01 03:25:00,1.12586,UP,Win
2024-01-01 03:26:00,1.13101,DOWN,Lose
2024-01-01 03:27:00,1.13615,DOWN,Lose
2024-01-01 03:28:00,1.1413,DOWN,Win
2024-01-01 03:29:00,1.17982,DOWN,Lose
2024-01-01 03:30:00,1.18553,DOWN,Lose
2024-01-01 03:31:00,1.19689,DOWN,Win
2024-01-01 03:32:00,1.20643,UP,Win
2024-01-01 03:33:00,1.21294,DOWN,Lose
2024-01-01 03:34:00,1.20979,UP,Lose
2024-01-01 03:35:00,1.21738,DOWN,Win
2024-01-01 03:36:00,1.20965,UP,Lose
2024-01-01 03:37:00,1.20728,UP,Win
2024-01-01 03:38:00,1.20243,DOWN,Win
2024-01-01 03:39:00,1.20325,DOWN,Win
2024-01-01 03:40:00,1.22639,UP,Lose
2024-01-01 03:41:00,1.20772,DOWN,Win
2024-01-01 03:42:00,1.21458,DOWN,Win
2024-01-01 03:43:00,1.19846,UP,Win
2024-01-01 03:44:00,1.19374,UP,Lose
2024-01-01 03:45:00,1.20463,UP,Lose
2024-01-01 03:46:00,1.20527,DOWN,Lose
2024-01-01 03:47:00,1.19449,DOWN,Win
2024-01-01 03:48:00,1.18734,DOWN,Lose
2024-01-01 03:49:00,1.19414,DOWN,Lose
2024-01-01 03:50:00,1.18683,UP,Win
2024-01-01 03:51:00,1.189,DOWN,Win
2024-01-01 03:52:00,1.18945,UP,Lose
2024-01-01 03:53:00,1.18294,DOWN,Lose
2024-01-01 03:54:00,1.20438,DOWN,Win
2024-01-01 03:55:00,1.21071,UP,Lose
2024-01-01 03:56:00,1.19046,DOWN,Win
2024-01-01 03:57:00,1.19233,DOWN,Win
2024-01-01 03:58:00,1.18571,UP,Lose
2024-01-01 03:59:00,1.19423,DOWN,Lose
2024-01-01 04:00:00,1.18631,UP,Lose
2024-01-01 04:01:00,1.18516,UP,Lose
2024-01-01 04:02:00,1.19021,UP,Win
2024-01-01 04:03:00,1.19887,UP,Lose
2024-01-01 04:04:00,1.18687,DOWN,Lose
2024-01-01 04:05:00,1.18352,DOWN,Lose
2024-01-01 04:06:00,1.17877,DOWN,Win
2024-01-01 04:07:00,1.17224,UP,Lose
2024-01-01 04:08:00,1.18989,DOWN,Lose
2024-01-01 04:09:00,1.19394,DOWN,Win
2024-01-01 04:10:00,1.18133,DOWN,Win
2024-01-01 04:11:00,1.19051,DOWN,Win
2024-01-01 04:12:00,1.21173,UP,Win
2024-01-01 04:13:00,1.22206,UP,Win
2024-01-01 04:14:00,1.20687,DOWN,Lose
2024-01-01 04:15:00,1.20202,UP,Win
2024-01-01 04:16:00,1.21469,DOWN,Win
2024-01-01 04:17:00,1.20762,DOWN,Win
2024-01-01 04:18:00,1.21205,DOWN,Win
2024-01-01 04:19:00,1.2198,UP,Win
2024-01-01 04:20:00,1.21053,DOWN,Win
2024-01-01 04:21:00,1.20994,UP,Win
2024-01-01 04:22:00,1.17752,UP,Win
2024-01-01 04:23:00,1.16728,DOWN,Lose
2024-01-01 04:24:00,1.16475,UP,Lose
2024-01-01 04:25:00,1.15228,UP,Lose
2024-01-01 04:26:00,1.1686,DOWN,Win
2024-01-01 04:27:00,1.1543,UP,Win
2024-01-01 04:28:00,1.1499,UP,Win
2024-01-01 04:29:00,1.1512,DOWN,Lose
2024-01-01 04:30:00,1.16562,DOWN,Win
2024-01-01 04:31:00,1.15126,UP,Win
2024-01-01 04:32:00,1.16289,DOWN,Win
2024-01-01 04:33:00,1.16299,DOWN,Lose
2024-01-01 04:34:00,1.15318,UP,Lose
2024-01-01 04:35:00,1.1578,UP,Win
2024-01-01 04:36:00,1.15979,DOWN,Lose
2024-01-01 04:37:00,1.15379,UP,Win
2024-01-01 04:38:00,1.15449,DOWN,Win
2024-01-01 04:39:00,1.15063,DOWN,Lose
2024-01-01 04:40:00,1.15177,UP,Lose
2024-01-01 04:41:00,1.15839,UP,Lose
2024-01-01 04:42:00,1.17425,DOWN,Lose
2024-01-01 04:43:00,1.16187,DOWN,Win
2024-01-01 04:44:00,1.1832,DOWN,Win
2024-01-01 04:45:00,1.16368,DOWN,Lose
2024-01-01 04:46:00,1.16216,UP,Lose
2024-01-01 04:47:00,1.16805,DOWN,Win
2024-01-01 04:48:00,1.17086,UP,Win
2024-01-01 04:49:00,1.16463,UP,Win
2024-01-01 04:50:00,1.16255,DOWN,Win
2024-01-01 04:51:00,1.15762,UP,Lose
2024-01-01 04:52:00,1.15172,UP,Lose
2024-01-01 04:53:00,1.16022,DOWN,Lose
2024-01-01 04:54:00,1.16379,UP,Win
2024-01-01 04:55:00,1.15686,UP,Win
2024-01-01 04:56:00,1.16586,DOWN,Lose
2024-01-01 04:57:00,1.16893,DOWN,Lose
2024-01-01 04:58:00,1.17706,DOWN,Lose
2024-01-01 04:59:00,1.18335,DOWN,Win
2024-01-01 05:00:00,1.17506,DOWN,Lose
2024-01-01 05:01:00,1.16946,DOWN,Win
2024-01-01 05:02:00,1.17694,DOWN,Lose
2024-01-01 05:03:00,1.18304,UP,Lose
2024-01-01 05:04:00,1.18283,UP,Lose
2024-01-01 05:05:00,1.184,DOWN,Win
2024-01-01 05:06:00,1.19678,UP,Win
2024-01-01 05:07:00,1.19086,UP,Win
2024-01-01 05:08:00,1.19634,DOWN,Win
2024-01-01 05:09:00,1.19431,UP,Win
2024-01-01 05:10:00,1.19214,DOWN,Win
2024-01-01 05:11:00,1.20312,UP,Lose
2024-01-01 05:12:00,1.21138,DOWN,Win
2024-01-01 05:13:00,1.21951,UP,Lose
2024-01-01 05:14:00,1.23257,UP,Win
2024-01-01 05:15:00,1.23278,UP,Lose
2024-01-01 05:16:00,1.2396,DOWN,Lose
2024-01-01 05:17:00,1.2365,UP,Win
2024-01-01 05:18:00,1.23974,UP,Lose
2024-01-01 05:19:00,1.23844,DOWN,Win
2024-01-01 05:20:00,1.23941,DOWN,Win
2024-01-01 05:21:00,1.24536,UP,Win
2024-01-01 05:22:00,1.23717,UP,Win
2024-01-01 05:23:00,1.2581,UP,Lose
2024-01-01 05:24:00,1.24804,UP,Win
2024-01-01 05:25:00,1.2359,DOWN,Lose
2024-01-01 05:26:00,1.24748,UP,Lose
2024-01-01 05:27:00,1.25539,UP,Lose
2024-01-01 05:28:00,1.26164,DOWN,Win
2024-01-01 05:29:00,1.26792,UP,Lose
2024-01-01 05:30:00,1.2678,UP,Win
2024-01-01 05:31:00,1.25882,UP,Lose
2024-01-01 05:32:00,1.25958,DOWN,Win
2024-01-01 05:33:00,1.25281,DOWN,Win
2024-01-01 05:34:00,1.26256,UP,Win
2024-01-01 05:35:00,1.26109,UP,Win
2024-01-01 05:36:00,1.25284,DOWN,Lose
2024-01-01 05:37:00,1.24962,UP,Lose
2024-01-01 05:38:00,1.25375,UP,Win
2024-01-01 05:39:00,1.24811,DOWN,Lose
2024-01-01 05:40:00,1.23989,DOWN,Win
2024-01-01 05:41:00,1.24233,DOWN,Win
2024-01-01 05:42:00,1.24478,UP,Lose
2024-01-01 05:43:00,1.23971,UP,Win
2024-01-01 05:44:00,1.235,UP,Win
2024-01-01 05:45:00,1.23732,UP,Win
2024-01-01 05:46:00,1.22284,DOWN,Win
2024-01-01 05:47:00,1.20876,UP,Win
2024-01-01 05:48:00,1.20158,UP,Lose
2024-01-01 05:49:00,1.19945,DOWN,Lose
2024-01-01 05:50:00,1.20255,DOWN,Lose
2024-01-01 05:51:00,1.21731,UP,Win
2024-01-01 05:52:00,1.22588,DOWN,Win
2024-01-01 05:53:00,1.22428,DOWN,Win
2024-01-01 05:54:00,1.22409,UP,Win
2024-01-01 05:55:00,1.21407,UP,Win
2024-01-01 05:56:00,1.21388,UP,Win
2024-01-01 05:57:00,1.211,UP,Lose
2024-01-01 05:58:00,1.21422,DOWN,Win
2024-01-01 05:59:00,1.20595,DOWN,Lose
2024-01-01 06:00:00,1.21115,UP,Win
2024-01-01 06:01:00,1.22647,UP,Lose
2024-01-01 06:02:00,1.22539,DOWN,Win
2024-01-01 06:03:00,1.2294,UP,Lose
2024-01-01 06:04:00,1.2363,UP,Lose
2024-01-01 06:05:00,1.23229,UP,Win
2024-01-01 06:06:00,1.23453,UP,Win
2024-01-01 06:07:00,1.23466,DOWN,Lose
2024-01-01 06:08:00,1.23564,UP,Win
2024-01-01 06:09:00,1.22791,DOWN,Win
2024-01-01 06:10:00,1.22815,UP,Win
2024-01-01 06:11:00,1.23313,UP,Lose
2024-01-01 06:12:00,1.24764,DOWN,Win
2024-01-01 06:13:00,1.25723,UP,Lose
2024-01-01 06:14:00,1.27877,DOWN,Lose
2024-01-01 06:15:00,1.27109,UP,Win
2024-01-01 06:16:00,1.27982,UP,Lose
2024-01-01 06:17:00,1.28165,UP,Win
2024-01-01 06:18:00,1.30355,UP,Win
2024-01-01 06:19:00,1.29546,UP,Lose
2024-01-01 06:20:00,1.28707,DOWN,Lose
2024-01-01 06:21:00,1.28107,DOWN,Lose
2024-01-01 06:22:00,1.25983,UP,Lose
2024-01-01 06:23:00,1.25458,UP,Lose
2024-01-01 06:24:00,1.24699,DOWN,Win
2024-01-01 06:25:00,1.24849,DOWN,Lose
2024-01-01 06:26:00,1.25191,UP,Win
2024-01-01 06:27:00,1.27067,UP,Win
2024-01-01 06:28:00,1.28017,DOWN,Lose
2024-01-01 06:29:00,1.2744,UP,Lose
2024-01-01 06:30:00,1.26542,DOWN,Lose
2024-01-01 06:31:00,1.27034,UP,Lose
2024-01-01 06:32:00,1.25714,DOWN,Lose
2024-01-01 06:33:00,1.27545,DOWN,Win
2024-01-01 06:34:00,1.28725,UP,Win
2024-01-01 06:35:00,1.28255,DOWN,Win
2024-01-01 06:36:00,1.26542,UP,Lose
2024-01-01 06:37:00,1.27896,UP,Lose
2024-01-01 06:38:00,1.27782,UP,Win
2024-01-01 06:39:00,1.29019,UP,Lose
2024-01-01 06:40:00,1.27425,DOWN,Lose
2024-01-01 06:41:00,1.26826,UP,Lose
2024-01-01 06:42:00,1.26831,UP,Win
2024-01-01 06:43:00,1.26878,UP,Lose
2024-01-01 06:44:00,1.26428,UP,Win
2024-01-01 06:45:00,1.27051,DOWN,Lose
2024-01-01 06:46:00,1.25983,UP,Lose
2024-01-01 06:47:00,1.25841,DOWN,Win
2024-01-01 06:48:00,1.25961,DOWN,Lose
2024-01-01 06:49:00,1.26475,DOWN,Lose
2024-01-01 06:50:00,1.27187,UP,Lose
2024-01-01 06:51:00,1.26062,UP,Win
2024-01-01 06:52:00,1.24528,UP,Lose
2024-01-01 06:53:00,1.25806,UP,Lose
2024-01-01 06:54:00,1.26138,DOWN,Lose
2024-01-01 06:55:00,1.2539,DOWN,Lose
2024-01-01 06:56:00,1.26941,UP,Lose
2024-01-01 06:57:00,1.27057,UP,Win
2024-01-01 06:58:00,1.28236,UP,Win
2024-01-01 06:59:00,1.28303,UP,Lose
2024-01-01 07:00:00,1.30364,UP,Lose
2024-01-01 07:01:00,1.32119,UP,Win
2024-01-01 07:02:00,1.31871,UP,Lose
2024-01-01 07:03:00,1.32842,DOWN,Lose
2024-01-01 07:04:00,1.33487,DOWN,Lose
2024-01-01 07:05:00,1.34856,DOWN,Lose
2024-01-01 07:06:00,1.33891,DOWN,Lose
2024-01-01 07:07:00,1.34577,UP,Lose
2024-01-01 07:08:00,1.35636,UP,Lose
2024-01-01 07:09:00,1.33877,UP,Lose
2024-01-01 07:10:00,1.32694,UP,Win
2024-01-01 07:11:00,1.30654,UP,Win
2024-01-01 07:12:00,1.30385,DOWN,Lose
2024-01-01 07:13:00,1.31103,UP,Lose
2024-01-01 07:14:00,1.32605,DOWN,Lose
2024-01-01 07:15:00,1.32679,UP,Lose
2024-01-01 07:16:00,1.34308,DOWN,Win
2024-01-01 07:17:00,1.32928,UP,Win
2024-01-01 07:18:00,1.31224,DOWN,Win
2024-01-01 07:19:00,1.31169,UP,Win
2024-01-01 07:20:00,1.31553,UP,Lose
2024-01-01 07:21:00,1.3152,UP,Lose
2024-01-01 07:22:00,1.29453,UP,Lose
2024-01-01 07:23:00,1.29363,DOWN,Win
2024-01-01 07:24:00,1.28059,UP,Lose
2024-01-01 07:25:00,1.28729,DOWN,Lose
2024-01-01 07:26:00,1.29095,UP,Win
2024-01-01 07:27:00,1.28155,DOWN,Win
2024-01-01 07:28:00,1.27641,UP,Win
2024-01-01 07:29:00,1.26582,UP,Win
2024-01-01 07:30:00,1.2652,DOWN,Win
2024-01-01 07:31:00,1.27475,UP,Lose
2024-01-01 07:32:00,1.26489,UP,Lose
2024-01-01 07:33:00,1.26993,DOWN,Win
2024-01-01 07:34:00,1.26463,UP,Lose
2024-01-01 07:35:00,1.2567,DOWN,Lose
2024-01-01 07:36:00,1.25563,UP,Lose
2024-01-01 07:37:00,1.24528,DOWN,Lose
2024-01-01 07:38:00,1.23974,DOWN,Win
2024-01-01 07:39:00,1.22776,DOWN,Lose
2024-01-01 07:40:00,1.24741,DOWN,Lose
2024-01-01 07:41:00,1.24776,UP,Lose
2024-01-01 07:42:00,1.24076,UP,Win
2024-01-01 07:43:00,1.2429,DOWN,Lose
2024-01-01 07:44:00,1.24178,UP,Win
2024-01-01 07:45:00,1.23957,UP,Win
2024-01-01 07:46:00,1.24571,UP,Win
2024-01-01 07:47:00,1.25329,DOWN,Win
2024-01-01 07:48:00,1.24798,UP,Lose
2024-01-01 07:49:00,1.24222,UP,Win
2024-01-01 07:50:00,1.23947,DOWN,Win
2024-01-01 07:51:00,1.21645,UP,Win
2024-01-01 07:52:00,1.2013,DOWN,Win
2024-01-01 07:53:00,1.21497,DOWN,Win
2024-01-01 07:54:00,1.23142,DOWN,Lose
2024-01-01 07:55:00,1.22893,UP,Win
2024-01-01 07:56:00,1.2347,UP,Lose
2024-01-01 07:57:00,1.23781,DOWN,Lose
2024-01-01 07:58:00,1.2686,DOWN,Win
2024-01-01 07:59:00,1.27979,DOWN,Lose
2024-01-01 08:00:00,1.27851,DOWN,Lose
2024-01-01 08:01:00,1.26896,DOWN,Lose
2024-01-01 08:02:00,1.25289,DOWN,Win
2024-01-01 08:03:00,1.25493,UP,Win
2024-01-01 08:04:00,1.24737,DOWN,Win
2024-01-01 08:05:00,1.23314,DOWN,Win
2024-01-01 08:06:00,1.22668,DOWN,Win
2024-01-01 08:07:00,1.21586,UP,Win
2024-01-01 08:08:00,1.23273,UP,Win
2024-01-01 08:09:00,1.24155,UP,Lose
2024-01-01 08:10:00,1.24147,UP,Lose
2024-01-01 08:11:00,1.25627,DOWN,Win
2024-01-01 08:12:00,1.25704,UP,Lose
2024-01-01 08:13:00,1.24843,DOWN,Win
2024-01-01 08:14:00,1.26366,DOWN,Win
2024-01-01 08:15:00,1.26905,DOWN,Win
2024-01-01 08:16:00,1.25868,DOWN,Lose
2024-01-01 08:17:00,1.25677,DOWN,Win
2024-01-01 08:18:00,1.24802,DOWN,Win
2024-01-01 08:19:00,1.23419,UP,Win
2024-01-01 08:20:00,1.24345,UP,Win
2024-01-01 08:21:00,1.26255,UP,Lose
2024-01-01 08:22:00,1.24856,UP,Win
2024-01-01 08:23:00,1.25419,UP,Lose
2024-01-01 08:24:00,1.24768,DOWN,Lose
2024-01-01 08:25:00,1.24281,UP,Win
2024-01-01 08:26:00,1.23689,UP,Win
2024-01-01 08:27:00,1.22825,UP,Lose
2024-01-01 08:28:00,1.22873,DOWN,Lose
2024-01-01 08:29:00,1.22042,DOWN,Lose
2024-01-01 08:30:00,1.22313,DOWN,Lose
2024-01-01 08:31:00,1.22263,UP,Win
2024-01-01 08:32:00,1.22024,UP,Lose
2024-01-01 08:33:00,1.21116,UP,Lose
2024-01-01 08:34:00,1.20539,UP,Lose
2024-01-01 08:35:00,1.21295,UP,Lose
2024-01-01 08:36:00,1.21796,DOWN,Win
2024-01-01 08:37:00,1.20818,UP,Win
2024-01-01 08:38:00,1.20917,DOWN,Win
2024-01-01 08:39:00,1.21669,UP,Lose
2024-01-01 08:40:00,1.19999,DOWN,Lose
2024-01-01 08:41:00,1.20543,DOWN,Win
2024-01-01 08:42:00,1.1988,DOWN,Win
2024-01-01 08:43:00,1.20451,DOWN,Lose
2024-01-01 08:44:00,1.19687,UP,Win
2024-01-01 08:45:00,1.17883,UP,Lose
2024-01-01 08:46:00,1.16255,UP,Lose
2024-01-01 08:47:00,1.16303,DOWN,Lose
2024-01-01 08:48:00,1.16563,UP,Lose
2024-01-01 08:49:00,1.15659,UP,Lose
2024-01-01 08:50:00,1.16297,UP,Lose
2024-01-01 08:51:00,1.14636,UP,Win
2024-01-01 08:52:00,1.1457,DOWN,Win
2024-01-01 08:53:00,1.13359,DOWN,Win
2024-01-01 08:54:00,1.12707,UP,Lose
2024-01-01 08:55:00,1.12754,UP,Win
2024-01-01 08:56:00,1.11894,UP,Lose
2024-01-01 08:57:00,1.11509,DOWN,Lose
2024-01-01 08:58:00,1.12515,DOWN,Lose
2024-01-01 08:59:00,1.11939,DOWN,Lose
2024-01-01 09:00:00,1.12774,UP,Win
2024-01-01 09:01:00,1.11645,DOWN,Win
2024-01-01 09:02:00,1.12174,DOWN,Win
2024-01-01 09:03:00,1.13616,DOWN,Lose
2024-01-01 09:04:00,1.11144,DOWN,Win
2024-01-01 09:05:00,1.10347,DOWN,Win
2024-01-01 09:06:00,1.10924,UP,Win
2024-01-01 09:07:00,1.10721,UP,Lose
